ID;Stress;Resolucao;UF;Cidade;Origem_reclamacao;Data_reclamacao;Data_primeira_interacao;Problemas;Nota;Retorno_negocio;Quantidade_interacoes;Data_criacao_ultima_interacao;tempo_espera_primeira;tempo_total_atendimento;dia_semana_reclamacao;dia_semana_primeira_interacao;dia_semana_ultima_interacao;ano_reclamacao;ano_primeira_interacao;ano_ultima_interacao;dia_reclamacao;dia_primeira_interacao;dia_ultima_interacao;mes_reclamacao;mes_primeira_interacao;mes_ultima_interacao;hora_reclamacao;hora_primeira_interacao;hora_ultima_interacao;min_reclamacao;min_primeira_interacao;min_ultima_interacao;grupo_notas
92200023;41,00913613;1;8;62;1;2019-06-06 16:21:13;2019-06-07 14:23:26;41;10;1;2;2019-06-07 14:29:47;1322,2166666666667;1328,5666666666666;3;4;4;2019;2019;2019;6;7;7;6;6;6;16;14;14;21;23;29;2
92200767;64,82887229;1;15;132;1;2019-06-06 16:42:45;2019-06-07 11:43:38;47;7;1;2;2019-06-11 14:00:21;1140,8833333333334;7037,6;3;4;1;2019;2019;2019;6;7;11;6;6;6;16;11;14;42;43;0;1
92201141;63,03386339;1;8;9;1;2019-06-06 16:52:57;2019-06-07 12:41:08;11;4;0;2;2019-06-07 18:59:38;1188,1833333333334;1566,6833333333334;3;4;4;2019;2019;2019;6;7;7;6;6;6;16;12;18;52;41;59;0
92201511;67,32043259;1;16;119;1;2019-06-06 17:02:36;2019-06-12 10:23:51;42;10;1;2;2019-06-21 09:02:26;8241,25;21119,833333333332;3;2;4;2019;2019;2019;6;12;21;6;6;6;17;10;9;2;23;2;2
92201511;67,32043259;1;16;119;1;2019-06-06 17:02:36;2019-06-12 10:23:51;38;10;1;2;2019-06-21 09:02:26;8241,25;21119,833333333332;3;2;4;2019;2019;2019;6;12;21;6;6;6;17;10;9;2;23;2;2
92201803;47,023178;1;15;132;2;2019-06-06 17:12:21;2019-06-07 12:56:36;21;10;1;2;2019-06-27 16:51:59;1184,25;30219,633333333335;3;4;3;2019;2019;2019;6;7;27;6;6;6;17;12;16;12;56;51;2
92201803;47,023178;1;15;132;2;2019-06-06 17:12:21;2019-06-07 12:56:36;2;10;1;2;2019-06-27 16:51:59;1184,25;30219,633333333335;3;4;3;2019;2019;2019;6;7;27;6;6;6;17;12;16;12;56;51;2
92417013;54,31821536;1;20;163;2;2019-06-14 11:02:15;2019-06-14 14:03:18;12;6;0;2;2019-06-26 09:13:48;181,05;17171,55;4;4;2;2019;2019;2019;14;14;26;6;6;6;11;14;9;2;3;13;0
92417139;62,99305635;1;8;108;1;2019-06-14 11:05:41;2019-06-17 17:55:50;40;6;0;2;2019-06-17 23:10:48;4730,15;5045,116666666667;4;0;0;2019;2019;2019;14;17;17;6;6;6;11;17;23;5;55;10;0
92417145;68,64684951;0;8;9;2;2019-06-14 11:05:49;2019-06-17 12:26:16;17;0;0;4;2019-06-19 10:02:23;4400,45;7136,566666666667;4;0;2;2019;2019;2019;14;17;19;6;6;6;11;12;10;5;26;2;0
92403057;62,449746700000006;1;12;147;2;2019-06-13 19:58:21;2019-06-14 13:23:55;46;10;1;2;2019-06-25 19:19:43;1045,5666666666666;17241,366666666665;3;4;1;2019;2019;2019;13;14;25;6;6;6;19;13;19;58;23;19;2
92303482;35,52969855;0;3;52;0;2019-06-10 22:00:28;2019-06-14 12:36:39;3;0;0;3;2019-06-14 13:28:50;5196,183333333333;5248,366666666667;0;4;4;2019;2019;2019;10;14;14;6;6;6;22;12;13;0;36;28;0
92303919;47,79715081;1;20;158;1;2019-06-12 08:59:56;2019-06-13 12:52:07;9;10;1;2;2019-06-27 14:29:27;1672,1833333333334;21929,516666666666;2;3;3;2019;2019;2019;12;13;27;6;6;6;8;12;14;59;52;29;2
92383747;65,36405629;1;20;163;2;2019-06-13 11:20:44;2019-06-14 15:50:14;13;10;1;2;2019-06-15 09:45:32;1709,5;2784,8;3;4;5;2019;2019;2019;13;14;15;6;6;6;11;15;9;20;50;45;2
92383855;59,66594101;1;4;15;2;2019-06-13 11:23:16;2019-06-14 11:38:50;25;10;0;2;2019-06-14 11:53:10;1455,5666666666666;1469,9;3;4;4;2019;2019;2019;13;14;14;6;6;6;11;11;11;23;38;53;2
92217111;70,5842782;1;8;79;1;2019-06-07 09:59:32;2019-06-07 12:41:35;5;8;1;2;2019-07-01 14:02:16;162,05;34802,73333333333;4;4;0;2019;2019;2019;7;7;1;6;6;7;9;12;14;59;41;2;2
92385365;54,87344658;1;15;155;2;2019-06-13 11:55:41;2019-06-14 11:27:43;27;7;1;2;2019-06-15 00:10:16;1412,0333333333333;2174,5833333333335;3;4;5;2019;2019;2019;13;14;15;6;6;6;11;11;0;55;27;10;1
